trip_duration_days,miles_traveled,total_receipts_amount,expected_output,predicted_output,error,abs_error,miles_per_day,receipts_per_day,duration_category,mileage_category,receipt_category,total_receipt_category
3,93.0,1.42,364.51,388.02,23.50999999999999,23.50999999999999,31.0,0.47333333333333333,2-3 days,<50 mi/day,Very Low (<$30/day),Very Low (<$50)
1,55.0,3.6,126.06,231.9,105.84,105.84,55.0,3.6,1 day,50-100 mi/day,Very Low (<$30/day),Very Low (<$50)
1,47.0,17.97,128.91,237.26,108.35,108.35,47.0,17.97,1 day,<50 mi/day,Very Low (<$30/day),Very Low (<$50)
2,13.0,4.67,203.52,229.27,25.75,25.75,6.5,2.335,2-3 days,<50 mi/day,Very Low (<$30/day),Very Low (<$50)
3,88.0,5.78,380.37,385.02,4.649999999999977,4.649999999999977,29.333333333333332,1.9266666666666667,2-3 days,<50 mi/day,Very Low (<$30/day),Very Low (<$50)
1,76.0,13.74,158.35,244.08,85.73000000000002,85.73000000000002,76.0,13.74,1 day,50-100 mi/day,Very Low (<$30/day),Very Low (<$50)
3,41.0,4.52,320.12,356.81,36.69,36.69,13.666666666666666,1.5066666666666666,2-3 days,<50 mi/day,Very Low (<$30/day),Very Low (<$50)
1,140.0,22.71,199.68,274.0,74.32,74.32,140.0,22.71,1 day,100-150 mi/day,Very Low (<$30/day),Very Low (<$50)
3,121.0,21.17,464.07,400.91,-63.15999999999997,63.15999999999997,40.333333333333336,7.0566666666666675,2-3 days,<50 mi/day,Very Low (<$30/day),Very Low (<$50)
3,117.0,21.99,359.1,404.76,45.65999999999997,45.65999999999997,39.0,7.329999999999999,2-3 days,<50 mi/day,Very Low (<$30/day),Very Low (<$50)
2,202.0,21.24,356.17,327.25,-28.920000000000016,28.920000000000016,101.0,10.62,2-3 days,100-150 mi/day,Very Low (<$30/day),Very Low (<$50)
3,80.0,21.05,366.87,380.21,13.339999999999975,13.339999999999975,26.666666666666668,7.016666666666667,2-3 days,<50 mi/day,Very Low (<$30/day),Very Low (<$50)
2,21.0,20.04,204.58,234.07,29.48999999999998,29.48999999999998,10.5,10.02,2-3 days,<50 mi/day,Very Low (<$30/day),Very Low (<$50)
3,177.0,18.73,430.86,424.49,-6.3700000000000045,6.3700000000000045,59.0,6.243333333333333,2-3 days,50-100 mi/day,Very Low (<$30/day),Very Low (<$50)
1,141.0,10.15,195.14,274.4,79.25999999999999,79.25999999999999,141.0,10.15,1 day,100-150 mi/day,Very Low (<$30/day),Very Low (<$50)
1,58.0,5.86,117.24,233.64,116.39999999999999,116.39999999999999,58.0,5.86,1 day,50-100 mi/day,Very Low (<$30/day),Very Low (<$50)
1,133.0,8.34,179.06,271.2,92.13999999999999,92.13999999999999,133.0,8.34,1 day,100-150 mi/day,Very Low (<$30/day),Very Low (<$50)
1,59.0,8.31,120.65,234.22,113.57,113.57,59.0,8.31,1 day,50-100 mi/day,Very Low (<$30/day),Very Low (<$50)
2,89.0,13.85,234.2,274.88,40.68000000000001,40.68000000000001,44.5,6.925,2-3 days,<50 mi/day,Very Low (<$30/day),Very Low (<$50)
2,147.0,17.43,325.56,302.67,-22.889999999999986,22.889999999999986,73.5,8.715,2-3 days,50-100 mi/day,Very Low (<$30/day),Very Low (<$50)
5,130.0,306.9,574.1,698.78,124.67999999999995,124.67999999999995,26.0,61.379999999999995,4-5 days,<50 mi/day,Low ($30-75/day),Medium ($200-500)
5,173.0,1337.9,1443.96,1116.59,-327.3700000000001,327.3700000000001,34.6,267.58000000000004,4-5 days,<50 mi/day,Very High (>$250/day),Very High (>$1000)
5,592.0,433.75,869.0,960.61,91.61000000000001,91.61000000000001,118.4,86.75,4-5 days,100-150 mi/day,Medium ($75-150/day),Medium ($200-500)
5,679.0,476.08,1030.41,990.92,-39.49000000000012,39.49000000000012,135.8,95.216,4-5 days,100-150 mi/day,Medium ($75-150/day),Medium ($200-500)
5,708.0,1129.52,1654.62,1299.87,-354.75,354.75,141.6,225.904,4-5 days,100-150 mi/day,High ($150-250/day),Very High (>$1000)
5,261.0,464.94,621.12,757.67,136.54999999999995,136.54999999999995,52.2,92.988,4-5 days,50-100 mi/day,Medium ($75-150/day),Medium ($200-500)
5,794.0,511.0,1139.94,1024.79,-115.15000000000009,115.15000000000009,158.8,102.2,4-5 days,150-200 mi/day,Medium ($75-150/day),High ($500-1000)
5,521.0,1448.55,1624.01,1391.81,-232.20000000000005,232.20000000000005,104.2,289.71,4-5 days,100-150 mi/day,Very High (>$250/day),Very High (>$1000)
5,595.0,863.93,1231.67,1156.83,-74.84000000000015,74.84000000000015,119.0,172.786,4-5 days,100-150 mi/day,High ($150-250/day),High ($500-1000)
5,811.0,952.39,1608.6,1343.67,-264.92999999999984,264.92999999999984,162.2,190.478,4-5 days,150-200 mi/day,High ($150-250/day),High ($500-1000)
